name,order,rank,slug,revenues_m,revenue_percent_change,profits_m,profits_percent_change,assets_m,total_shareholder_equity,profit_as_of_revenues,profits_as_of_assets,profit_as_a_of_shareholder_equity,industry,headquarters_state,market_value_m,ticker,year,employees,headquarters_city,gained_in_rank,dropped_in_rank,newcomer_to_the_fortune_500,profitable,founder_is_ceo,foreign_born_ceo,female_ceo,growth_in_jobs,sector,global_500,best_companies,world_s_most_admired_companies,change_the_world,fastest_growing_companies,change_in_rank_full_1000,change_in_rank_500_only,measure_up,measure_up_rank,state
Exelon,119,119,/company/exelon/,"$24,888",6%,"$1,719",48.2%,"$79,924","22,732",6.9%,2.2%,7.6,Utilities: Gas and Electric,IL,"$28,775",EXC,2014,,,,,,,,,,,,,,,,,,,,,
Qualcomm,120,120,/company/qualcomm/,"$24,866",30%,"$6,853",12.2%,"$45,516","36,088",27.6%,15.1%,19,Network and Other Communications Equipment,CA,"$133,358",QCOM,2014,,,,,,,,,,,,,,,,,,,,,
Emerson Electric Co.,121,121,/company/emerson-electric-co/,"$24,669",0.7%,"$2,004",1.8%,"$24,711","10,585",8.1%,8.1%,18.9,"Electronics, Electrical Equip.",MO,"$46,959",EMR,2014,,,,,,,,,,,,,,,,,,,,,
Northrop Grumman,122,122,/company/northrop-grumman/,"$24,661",-2.2%,"$1,952",-1.3%,"$26,381","10,620",7.9%,7.4%,18.4,Aerospace and Defense,VA,"$26,741",NOC,2014,,,,,,,,,,,,,,,,,,,,,
Duke Energy,123,123,/company/duke-energy/,"$24,598",25.3%,"$2,665",50.7%,"$114,779","41,330",10.8%,2.3%,6.4,Utilities: Gas and Electric,NC,"$50,313",DUK,2014,,,,,,,,,,,,,,,,,,,,,
Capital One Financial,124,124,/company/capital-one-financial/,"$24,176",1.7%,"$4,159",18.3%,"$297,048","41,744",17.2%,1.4%,10,Commercial Banks,VA,"$44,198",COF,2014,,,,,,,,,,,,,,,,,,,,,
Aflac,125,125,/company/aflac/,"$23,939",-5.6%,"$3,158",10.2%,"$121,307","14,620",13.2%,2.6%,21.6,"Insurance: Life, Health (stock)",GA,"$28,734",AFL,2014,,,,,,,,,,,,,,,,,,,,,
RTX,126,126,/company/raytheon-technologies/,"$23,706",-2.9%,"$1,996",5.7%,"$25,967","11,035",8.4%,7.7%,18.1,Aerospace and Defense,MA,"$31,070",RTX,2014,,,,,,,,,,,,,,,,,,,,,
"Staples, Inc.",127,127,/company/staples-inc/,"$23,314",-5.5%,$620,,"$11,175","6,132",2.7%,5.5%,10.1,Specialty Retailers: Other,MA,"$7,379",SPLS,2014,,,,,,,,,,,,,,,,,,,,,
EMC Corporation,128,128,/company/emc-corporation/,"$23,222",6.9%,"$2,889",5.7%,"$45,849","22,301",12.4%,6.3%,13,Computer Peripherals,MA,"$55,522",EMC,2014,,,,,,,,,,,,,,,,,,,,,
Eli Lilly,129,129,/company/eli-lilly/,"$23,113",2.3%,"$4,685",14.6%,"$35,249","17,631",20.3%,13.3%,26.6,Pharmaceuticals,IN,"$65,906",LLY,2014,,,,,,,,,,,,,,,,,,,,,
Alcoa,130,130,/company/alcoa/,"$23,032",-2.8%,"$-2,285",-1296%,"$35,742","10,593",-9.9%,-6.4%,-21.6,Metals,NY,"$13,869",AA,2014,,,,,,,,,,,,,,,,,,,,,
NOV,131,131,/company/national-oilwell-varco/,"$22,869",14.1%,"$2,327",-6.6%,"$34,812","22,230",10.2%,6.7%,10.5,"Oil and Gas Equipment, Services",TX,"$33,369",NOV,2014,,,,,,,,,,,,,,,,,,,,,
Baker Hughes Incorporated,132,132,/company/baker-hughes-incorporated/,"$22,364",4.7%,"$1,096",-16.4%,"$27,934","17,713",4.9%,3.9%,6.2,"Oil and Gas Equipment, Services",TX,"$28,360",BHI,2014,,,,,,,,,,,,,,,,,,,,,
"US Foods, Inc.",133,133,/company/us-foods-inc/,"$22,297",2.9%,$-57,,"$9,186","1,882",-0.3%,-0.6%,-3,Wholesalers: Food and Grocery,IL,,,2014,,,,,,,,,,,,,,,,,,,,,
Time Warner Cable,134,134,/company/time-warner-cable/,"$22,120",3.4%,"$1,954",-9.3%,"$48,273","6,943",8.8%,4%,28.1,Telecommunications,NY,"$38,060",TWC,2014,,,,,,,,,,,,,,,,,,,,,
Union Pacific,135,135,/company/union-pacific/,"$21,963",5%,"$4,388",11.3%,"$49,731","21,225",20%,8.8%,20.7,Railroads,NE,"$85,396",UNP,2014,,,,,,,,,,,,,,,,,,,,,
Abbott Laboratories,136,136,/company/abbott-laboratories/,"$21,848",-45.2%,"$2,576",-56.8%,"$42,953","25,171",11.8%,6%,10.2,Medical Products and Equipment,IL,"$59,423",ABT,2014,,,,,,,,,,,,,,,,,,,,,
Xerox Holdings,137,137,/company/xerox/,"$21,838",-2.5%,"$1,159",-3%,"$29,036","12,300",5.3%,4%,9.2,Information Technology Services,CT,"$13,389",XRX,2014,,,,,,,,,,,,,,,,,,,,,
Arrow Electronics,138,138,/company/arrow-electronics/,"$21,357",4.7%,$399,-21.1%,"$12,061","4,180",1.9%,3.3%,9.6,Wholesalers: Electronics and Office Equipment,CO,"$5,933",ARW,2014,,,,,,,,,,,,,,,,,,,,,
Kimberly-Clark,139,139,/company/kimberly-clark/,"$21,152",0.4%,"$2,142",22.4%,"$18,919","4,856",10.1%,11.3%,44.1,Household and Personal Products,TX,"$41,829",KMB,2014,,,,,,,,,,,,,,,,,,,,,
U.S. Bancorp,140,140,/company/u-s-bancorp/,"$21,059",-5.1%,"$5,836",3.3%,"$364,021","41,113",27.7%,1.6%,14.2,Commercial Banks,MN,"$78,007",USB,2014,,,,,,,,,,,,,,,,,,,,,
USAA,141,141,/company/usaa/,"$20,971",1.2%,"$2,726",-3.7%,"$122,204","24,156",13%,2.2%,11.3,Insurance: Property and Casualty (Stock),TX,,,2014,,,,,,,,,,,,,,,,,,,,,
Freeport-McMoRan,142,142,/company/freeport-mcmoran/,"$20,921",16.2%,"$2,658",-12.6%,"$63,473","20,934",12.7%,4.2%,12.7,"Mining, Crude-Oil Production",AZ,"$34,320",FCX,2014,,,,,,,,,,,,,,,,,,,,,
Icahn Enterprises,143,143,/company/icahn-enterprises/,"$20,682",32.1%,"$1,025",158.8%,"$31,745","6,092",5%,3.2%,16.8,Motor Vehicles and Parts,NY,"$12,009",IEP,2014,,,,,,,,,,,,,,,,,,,,,
ManpowerGroup,144,144,/company/manpowergroup/,"$20,251",-2.1%,$288,45.7%,"$7,288","2,914",1.4%,4%,9.9,Temporary Help,WI,"$6,271",MAN,2014,,,,,,,,,,,,,,,,,,,,,
HF Sinclair,145,145,/company/hollyfrontier/,"$20,161",0.3%,$736,-57.4%,"$10,057","6,000",3.6%,7.3%,12.3,Petroleum Refining,TX,"$9,467",DINO,2014,,,,,,,,,,,,,,,,,,,,,
Global Partners,146,146,/company/global-partners/,"$19,590",11.1%,$43,-8.8%,"$2,428",415,0.2%,1.8%,10.3,Wholesalers: Diversified,MA,"$1,002",GLP,2014,,,,,,,,,,,,,,,,,,,,,
The Goodyear Tire & Rubber Company,147,147,/company/the-goodyear-tire-rubber-company/,"$19,540",-6.9%,$629,196.7%,"$17,527","1,606",3.2%,3.6%,39.2,Motor Vehicles and Parts,OH,"$6,481",GT,2014,,,,,,,,,,,,,,,,,,,,,
PBF Energy,148,148,/company/pbf-energy/,"$19,152",-4.9%,$40,1921%,"$4,414",654,0.2%,0.9%,6,Petroleum Refining,NJ,"$2,499",PBF,2014,,,,,,,,,,,,,,,,,,,,,
Danaher,149,149,/company/danaher/,"$19,118",4.6%,"$2,695",12.7%,"$34,672","22,385",14.1%,7.8%,12,"Scientific,Photographic and Control Equipment",DC,"$52,386",DHR,2014,,,,,,,,,,,,,,,,,,,,,
Nucor,150,150,/company/nucor/,"$19,052",-1.9%,$488,-3.3%,"$15,203","7,646",2.6%,3.2%,6.4,Metals,NC,"$16,090",NUE,2014,,,,,,,,,,,,,,,,,,,,,
Kohl's,151,151,/company/kohls/,"$19,031",-1.3%,$889,-9.8%,"$14,378","5,978",4.7%,6.2%,14.9,General Merchandisers,WI,"$11,846",KSS,2014,,,,,,,,,,,,,,,,,,,,,
AbbVie,152,152,/company/abbvie/,"$18,790",,"$4,128",,"$29,198","4,492",22%,14.1%,91.9,Pharmaceuticals,IL,"$81,649",ABBV,2014,,,,,,,,,,,,,,,,,,,,,
Whirlpool,153,153,/company/whirlpool/,"$18,769",3.5%,$827,106.2%,"$15,544","4,924",4.4%,5.3%,16.8,"Electronics, Electrical Equip.",MI,"$11,577",WHR,2014,,,,,,,,,,,,,,,,,,,,,
Amgen,154,154,/company/amgen/,"$18,676",8.2%,"$5,081",16.9%,"$66,125","22,096",27.2%,7.7%,23,Pharmaceuticals,CA,"$93,122",AMGN,2014,,,,,,,,,,,,,,,,,,,,,
Jabil,155,155,/company/jabil-circuit/,"$18,337",6.9%,$372,-5.9%,"$9,154","2,335",2%,4.1%,15.9,Semiconductors and Other Electronic Components,FL,"$3,712",JBL,2014,,,,,,,,,,,,,,,,,,,,,
Kraft Foods Group,156,156,/company/kraft-foods-group/,"$18,218",-0.7%,"$2,715",65.3%,"$23,148","5,187",14.9%,11.7%,52.3,Food Consumer Products,IL,"$33,453",,2014,,,,,,,,,,,,,,,,,,,,,
The Progressive Corporation,157,157,/company/progressive/,"$18,171",6.4%,"$1,165",29.2%,"$24,408","6,190",6.4%,4.8%,18.8,Insurance: Property and Casualty (Stock),OH,"$14,417",PGR,2014,,,,,,,,,,,,,,,,,,,,,
Lumen Technologies,158,158,/company/centurylink/,"$18,095",-1.5%,$-239,-130.8%,"$51,787","17,191",-1.3%,-0.5%,-1.4,Telecommunications,LA,"$18,980",LUMN,2014,,,,,,,,,,,,,,,,,,,,,
General Mills,159,159,/company/general-mills/,"$17,774",6.7%,"$1,855",18.4%,"$22,658","6,672",10.4%,8.2%,27.8,Food Consumer Products,MN,"$31,843",GIS,2014,,,,,,,,,,,,,,,,,,,,,
Southwest Airlines,160,160,/company/southwest-airlines/,"$17,699",3.6%,$754,79.1%,"$19,345","7,336",4.3%,3.9%,10.3,Airlines,TX,"$16,574",LUV,2014,,,,,,,,,,,,,,,,,,,,,
Altria Group,161,161,/company/altria-group/,"$17,663",0.9%,"$4,535",8.5%,"$34,859","4,119",25.7%,13%,110.1,Tobacco,VA,"$74,592",MO,2014,,,,,,,,,,,,,,,,,,,,,
AutoNation,162,162,/company/auto-nation/,"$17,518",11.8%,$375,18.5%,"$7,914","2,062",2.1%,4.7%,18.2,"Automotive Retailing, Services",FL,"$6,338",AN,2014,,,,,,,,,,,,,,,,,,,,,
Expand Energy,163,163,/company/chesapeake-energy/,"$17,506",42.1%,$724,,"$41,782","15,995",4.1%,1.7%,4.5,"Mining, Crude-Oil Production",OK,"$17,068",EXE,2014,,,,,,,,,,,,,,,,,,,,,
Dollar General,164,164,/company/dollar-general/,"$17,504",9.3%,"$1,025",7.6%,"$10,868","5,402",5.9%,9.4%,19,General Merchandisers,TN,"$17,398",DG,2014,,,,,,,,,,,,,,,,,,,,,
TRW Automotive Holdings,165,165,/company/trw-automotive-holdings/,"$17,435",6%,$970,-3.8%,"$12,252","4,194",5.6%,7.9%,23.1,Motor Vehicles and Parts,MI,"$9,329",,2014,,,,,,,,,,,,,,,,,,,,,
United States Steel,166,166,/company/united-states-steel/,"$17,424",-9.9%,"$-1,672",,"$13,143","3,348",-9.6%,-12.7%,-49.9,Metals,PA,"$3,994",X,2014,,,,,,,,,,,,,,,,,,,,,
Colgate-Palmolive,167,167,/company/colgate-palmolive/,"$17,420",2%,"$2,241",-9.3%,"$13,876","2,305",12.9%,16.2%,97.2,Household and Personal Products,NY,"$59,611",CL,2014,,,,,,,,,,,,,,,,,,,,,
Cummins,168,168,/company/cummins/,"$17,301",-0.2%,"$1,483",-9.8%,"$14,728","7,510",8.6%,10.1%,19.7,Construction and Farm Machinery,IN,"$27,813",CMI,2014,,,,,,,,,,,,,,,,,,,,,
Paccar,169,169,/company/paccar/,"$17,124",0.4%,"$1,171",5.4%,"$20,726","6,634",6.8%,5.7%,17.7,Motor Vehicles and Parts,WA,"$23,900",PCAR,2014,,,,,,,,,,,,,,,,,,,,,
Southern Company,170,170,/company/southern/,"$17,087",3.3%,"$1,644",-30%,"$64,546","19,008",9.6%,2.5%,8.6,Utilities: Gas and Electric,GA,"$39,016",SO,2014,,,,,,,,,,,,,,,,,,,,,
Illinois Tool Works,171,171,/company/illinois-tool-works/,"$16,904",-6.4%,"$1,679",-41.5%,"$19,966","9,703",9.9%,8.4%,17.3,Industrial Machinery,IL,"$34,554",ITW,2014,,,,,,,,,,,,,,,,,,,,,
PNC Financial Services Group,172,172,/company/pnc-financial-services/,"$16,872",1.6%,"$4,220",40.1%,"$320,296","42,408",25%,1.3%,10,Commercial Banks,PA,"$46,463",PNC,2014,,,,,,,,,,,,,,,,,,,,,
Medtronic,173,173,/company/medtronic/,"$16,590",0.5%,"$3,467",-4.1%,"$34,841","18,671",20.9%,10%,18.6,Medical Products and Equipment,MN,"$61,590",MDT,2014,,,,,,,,,,,,,,,,,,,,,
AES,174,174,/company/aes/,"$16,580",-8.9%,$114,,"$40,411","4,330",0.7%,0.3%,2.6,Utilities: Gas and Electric,VA,"$10,337",AES,2014,,,,,,,,,,,,,,,,,,,,,
Murphy USA,175,175,/company/murphy-usa/,"$16,566",,$235,,"$1,881",656,1.4%,12.5%,35.8,Specialty Retailers: Other,AR,"$1,897",MUSA,2014,,,,,,,,,,,,,,,,,,,,,
Bristol-Myers Squibb,176,176,/company/bristol-myers-squibb/,"$16,385",-7%,"$2,563",30.8%,"$38,592","15,154",15.6%,6.6%,16.9,Pharmaceuticals,NY,"$85,729",BMY,2014,,,,,,,,,,,,,,,,,,,,,
Lear,177,177,/company/lear/,"$16,234",11.4%,$431,-66.4%,"$8,331","3,046",2.7%,5.2%,14.2,Motor Vehicles and Parts,MI,"$6,761",LEA,2014,,,,,,,,,,,,,,,,,,,,,
Gap,178,178,/company/gap/,"$16,148",3.2%,"$1,280",12.8%,"$7,849","3,062",7.9%,16.3%,41.8,Specialty Retailers: Apparel,CA,"$17,906",GAP,2014,,,,,,,,,,,,,,,,,,,,,
APA,179,179,/company/apache/,"$16,054",-6%,"$2,232",11.5%,"$61,637","33,396",13.9%,3.6%,6.7,"Mining, Crude-Oil Production",TX,"$32,664",APA,2014,,,,,,,,,,,,,,,,,,,,,
eBay,180,180,/company/ebay/,"$16,047",14%,"$2,856",9.5%,"$41,488","23,647",17.8%,6.9%,12.1,Internet Services and Retailing,CA,"$69,980",EBAY,2014,,,,,,,,,,,,,,,,,,,,,
Bank of New York Mellon,181,181,/company/bank-of-new-york-mellon-corp/,"$15,691",1.3%,"$2,111",-13.7%,"$374,310","37,521",13.5%,0.6%,5.6,Commercial Banks,NY,"$40,055",BK,2014,,,,,,,,,,,,,,,,,,,,,
Paramount Global,182,182,/company/cbs/,"$15,685",6.9%,"$1,879",19.4%,"$26,387","9,966",12%,7.1%,18.9,Entertainment,NY,"$36,670",PARA,2014,,,,,,,,,,,,,,,,,,,,,
PG&E Corporation,183,183,/company/pge-corporation/,"$15,598",3.7%,$814,-0.2%,"$55,605","14,342",5.2%,1.5%,5.7,Utilities: Gas and Electric,CA,"$19,771",PCG,2014,,,,,,,,,,,,,,,,,,,,,
Conagra Brands,184,184,/company/conagra-brands/,"$15,491",16.8%,$774,65.4%,"$20,405","5,264",5%,3.8%,14.7,Food Consumer Products,NE,"$13,045",CAG,2014,,,,,,,,,,,,,,,,,,,,,
Computer Sciences Corporation,185,185,/company/computer-sciences-corporation/,"$15,388",-3.1%,$961,,"$11,251","3,135",6.2%,8.5%,30.7,Information Technology Services,VA,"$8,861",CSC,2014,,,,,,,,,,,,,,,,,,,,,
American Electric Power,186,186,/company/american-electric-power/,"$15,357",2.8%,"$1,480",17.6%,"$56,414","16,085",9.6%,2.6%,9.2,Utilities: Gas and Electric,OH,"$24,710",AEP,2014,,,,,,,,,,,,,,,,,,,,,
Western Digital,187,187,/company/western-digital/,"$15,351",23%,$980,-39.2%,"$14,036","7,893",6.4%,7%,12.4,Computer Peripherals,CA,"$21,693",WDC,2014,,,,,,,,,,,,,,,,,,,,,
Marathon Oil,188,188,/company/marathon-oil/,"$15,320",-5.6%,"$1,753",10.8%,"$35,620","19,344",11.4%,4.9%,9.1,"Mining, Crude-Oil Production",TX,"$24,755",,2014,,,,,,,,,,,,,,,,,,,,,
Baxter International,189,189,/company/baxter-international/,"$15,259",7.5%,"$2,012",-13.5%,"$25,869","8,463",13.2%,7.8%,23.8,Medical Products and Equipment,IL,"$39,802",BAX,2014,,,,,,,,,,,,,,,,,,,,,
PPG Industries,190,190,/company/ppg-industries/,"$15,216",0.1%,"$3,231",243.4%,"$15,863","4,932",21.2%,20.4%,65.5,Chemicals,PA,"$26,796",PPG,2014,,,,,,,,,,,,,,,,,,,,,
NextEra Energy,191,191,/company/nextera-energy/,"$15,136",6.2%,"$1,908",-0.2%,"$69,306","18,040",12.6%,2.8%,10.6,Utilities: Gas and Electric,FL,"$41,631",NEE,2014,,,,,,,,,,,,,,,,,,,,,
Community Health Systems,192,192,/company/community-health-systems/,"$15,078",0.6%,$141,-46.8%,"$17,117","3,068",0.9%,0.8%,4.6,Health Care: Medical Facilities,TN,"$4,443",CYH,2014,,,,,,,,,,,,,,,,,,,,,
Loews,193,193,/company/loews/,"$15,053",3.4%,$595,4.8%,"$79,939","19,458",4%,0.7%,3.1,Insurance: Property and Casualty (Stock),NY,"$17,065",L,2014,,,,,,,,,,,,,,,,,,,,,
Penske Automotive Group,194,194,/company/penske-automotive-group/,"$14,969",10.1%,$244,31.6%,"$6,416","1,504",1.6%,3.8%,16.2,"Automotive Retailing, Services",MI,"$3,858",PAG,2014,,,,,,,,,,,,,,,,,,,,,
FirstEnergy Corp.,195,195,/company/firstenergy-corp/,"$14,950",-2.3%,$392,-49.1%,"$50,424","12,692",2.6%,0.8%,3.1,Utilities: Gas and Electric,OH,"$14,249",FE,2014,,,,,,,,,,,,,,,,,,,,,
Starbucks,196,196,/company/starbucks/,"$14,892",12%,$8,-99.4%,"$11,517","4,480",0.1%,0.1%,0.2,Food Services,WA,"$55,467",SBUX,2014,,,,,,,,,,,,,,,,,,,,,
Monsanto,197,197,/company/monsanto/,"$14,861",10%,"$2,482",21.4%,"$20,664","12,559",16.7%,12%,19.8,Chemicals,MO,"$59,715",,2014,,,,,,,,,,,,,,,,,,,,,
Kellanova,198,198,/company/kellogg/,"$14,792",4.2%,"$1,807",88%,"$15,474","3,545",12.2%,11.7%,51,Food Consumer Products,MI,"$22,524",K,2014,,,,,,,,,,,,,,,,,,,,,
Land O'Lakes,199,199,/company/land-olakes/,"$14,681",4%,$306,27.3%,"$6,758","1,481",2.1%,4.5%,20.7,Food Consumer Products,MN,,,2014,,,,,,,,,,,,,,,,,,,,,
Oneok,200,200,/company/oneok/,"$14,603",15.3%,$267,-26.1%,"$17,708","2,338",1.8%,1.5%,11.4,Pipelines,OK,"$12,313",OKE,2014,,,,,,,,,,,,,,,,,,,,,
Omnicom Group,201,201,/company/omnicom-group/,"$14,585",2.6%,$991,-0.7%,"$22,099","3,582",6.8%,4.5%,27.7,"Advertising, marketing",NY,"$18,745",OMC,2014,,,,,,,,,,,,,,,,,,,,,
Anadarko Petroleum,202,202,/company/anadarko-petroleum/,"$14,581",8.7%,$801,-66.5%,"$55,781","21,857",5.5%,1.4%,3.7,"Mining, Crude-Oil Production",TX,"$42,699",APC,2014,,,,,,,,,,,,,,,,,,,,,
EOG Resources,203,203,/company/eog-resources/,"$14,487",24%,"$2,197",285.3%,"$30,574","15,419",15.2%,7.2%,14.2,"Mining, Crude-Oil Production",TX,"$53,577",EOG,2014,,,,,,,,,,,,,,,,,,,,,
DISH Network,204,204,/company/dish-network/,"$14,408",1%,$808,26.8%,"$20,376",977,5.6%,4%,82.6,Telecommunications,CO,"$28,513",,2014,,,,,,,,,,,,,,,,,,,,,
Genuine Parts,205,205,/company/genuine-parts/,"$14,078",8.2%,$685,5.7%,"$7,680","3,349",4.9%,8.9%,20.5,Wholesalers: Diversified,GA,"$13,351",GPC,2014,,,,,,,,,,,,,,,,,,,,,
Kinder Morgan,206,206,/company/kinder-morgan/,"$14,070",37.9%,"$1,193",278.7%,"$75,185","13,093",8.5%,1.6%,9.1,Pipelines,TX,"$33,486",KMI,2014,,,,,,,,,,,,,,,,,,,,,
Waste Management,207,207,/company/waste-management/,"$13,983",2.4%,$98,-88%,"$22,603","5,707",0.7%,0.4%,1.7,Waste Management,TX,"$19,555",WM,2014,,,,,,,,,,,,,,,,,,,,,
Chubb,208,208,/company/chubb/,"$13,947",2.6%,"$2,345",51.8%,"$50,433","16,097",16.8%,4.6%,14.6,Insurance: Property and Casualty (Stock),NJ,"$21,931",CB,2014,,,,,,,,,,,,,,,,,,,,,
Aramark Holdings Corporation,209,209,/company/aramark-holdings-corporation/,"$13,946",3.3%,$69,-49.8%,"$10,267",904,0.5%,0.7%,7.7,Diversified Outsourcing Services,PA,"$6,658",ARMK,2014,,,,,,,,,,,,,,,,,,,,,
Viacom,210,210,/company/viacom/,"$13,794",-0.7%,"$2,395",20.9%,"$23,829","5,193",17.4%,10.1%,46.1,Entertainment,NY,"$37,230",VIAB,2014,,,,,,,,,,,,,,,,,,,,,
Las Vegas Sands,211,211,/company/las-vegas-sands/,"$13,770",23.7%,"$2,306",51.3%,"$22,724","7,666",16.7%,10.1%,30.1,"Hotels, Casinos, Resorts",NV,"$65,639",LVS,2014,,,,,,,,,,,,,,,,,,,,,
Dominion Energy,212,212,/company/dominion-resources/,"$13,424",2.1%,"$1,697",461.9%,"$50,096","11,642",12.6%,3.4%,14.6,Utilities: Gas and Electric,VA,"$41,279",D,2014,,,,,,,,,,,,,,,,,,,,,
Ecolab,213,213,/company/ecolab/,"$13,253",12%,$968,37.5%,"$19,637","7,344",7.3%,4.9%,13.2,Chemicals,MN,"$32,479",ECL,2014,,,,,,,,,,,,,,,,,,,,,
"Smithfield Foods, Inc.",214,214,/company/smithfield-foods-inc/,"$13,221",1%,$184,-49.1%,"$7,716","3,097",1.4%,2.4%,5.9,Food Production,VA,,,2014,,,,,,,,,,,,,,,,,,,,,
Thermo Fisher Scientific,215,215,/company/thermo-fisher-scientific/,"$13,090",3.4%,"$1,273",8.1%,"$31,863","16,856",9.7%,4%,7.6,"Scientific,Photographic and Control Equipment",MA,"$47,109",TMO,2014,,,,,,,,,,,,,,,,,,,,,
Yum Brands,216,216,/company/yum-brands/,"$13,084",-4%,"$1,091",-31.7%,"$8,695","2,166",8.3%,12.5%,50.4,Food Services,KY,"$33,392",YUM,2014,,,,,,,,,,,,,,,,,,,,,
Parker-Hannifin,217,217,/company/parker-hannifin/,"$13,016",-1%,$948,-17.7%,"$12,541","5,738",7.3%,7.6%,16.5,Industrial Machinery,OH,"$17,852",PH,2014,,,,,,,,,,,,,,,,,,,,,
"Whole Foods Market, Inc.",218,218,/company/whole-foods-market-inc/,"$12,917",10.4%,$551,18.3%,"$5,538","3,878",4.3%,9.9%,14.2,Food and Drug Stores,TX,"$18,862",WFM,2014,,,,,,,,,,,,,,,,,,,,,
Marriott International,219,219,/company/marriott-international/,"$12,784",8.2%,$626,9.6%,"$6,794","-1,415",4.9%,9.2%,,"Hotels, Casinos, Resorts",MD,"$16,516",MAR,2014,,,,,,,,,,,,,,,,,,,,,
C.H. Robinson Worldwide,220,220,/company/c-h-robinson-worldwide/,"$12,752",12.3%,$416,-30%,"$2,803",940,3.3%,14.8%,44.3,Transportation and Logistics,MN,"$7,777",CHRW,2014,,,,,,,,,,,,,,,,,,,,,
"L-3 Communications Holdings, Inc.",221,221,/company/l-3-communications-holdings-inc/,"$12,629",-10.2%,$778,-4%,"$14,009","6,023",6.2%,5.6%,12.9,Aerospace and Defense,NY,"$10,142",LLL,2014,,,,,,,,,,,,,,,,,,,,,
Edison International,222,222,/company/edison-international/,"$12,581",-4%,$915,,"$46,646","9,938",7.3%,2%,9.2,Utilities: Gas and Electric,CA,"$18,444",EIX,2014,,,,,,,,,,,,,,,,,,,,,
"Toys ""R"" Us",223,223,/company/toys-r-us/,"$12,543",-7.4%,"$-1,039",-2834%,"$7,549",-656,-8.3%,-13.8%,,Specialty Retailers: Other,NJ,,,2014,,,,,,,,,,,,,,,,,,,,,
Nordstrom,224,224,/company/nordstrom/,"$12,540",3.2%,$734,-0.1%,"$8,574","2,080",5.9%,8.6%,35.3,General Merchandisers,WA,"$11,846",JWN,2014,,,,,,,,,,,,,,,,,,,,,
Consolidated Edison,225,225,/company/consolidated-edison/,"$12,354",1.4%,"$1,062",-6.7%,"$40,647","12,245",8.6%,2.6%,8.7,Utilities: Gas and Electric,NY,"$15,714",ED,2014,,,,,,,,,,,,,,,,,,,,,
Marsh & McLennan,226,226,/company/marsh-mclennan/,"$12,261",2.8%,"$1,357",15.4%,"$16,980","7,905",11.1%,8%,17.2,Diversified Financials,NY,"$27,034",MMC,2014,,,,,,,,,,,,,,,,,,,,,
Texas Instruments,227,227,/company/texas-instruments/,"$12,205",-4.8%,"$2,162",22.9%,"$18,938","10,807",17.7%,11.4%,20,Semiconductors and Other Electronic Components,TX,"$51,131",TXN,2014,,,,,,,,,,,,,,,,,,,,,
Textron,228,228,/company/textron/,"$12,104",-1.1%,$498,-15.4%,"$12,944","4,384",4.1%,3.8%,11.4,Aerospace and Defense,RI,"$11,099",TXT,2014,,,,,,,,,,,,,,,,,,,,,
Tenet Healthcare,229,229,/company/tenet-healthcare/,"$12,081",20.1%,$-134,-188.2%,"$16,130",755,-1.1%,-0.8%,-17.7,Health Care: Medical Facilities,TX,"$4,152",THC,2014,,,,,,,,,,,,,,,,,,,,,
DaVita,230,230,/company/davita/,"$12,064",42.1%,$633,18.2%,"$17,099","4,433",5.3%,3.7%,14.3,Health Care: Medical Facilities,CO,"$14,678",DVA,2014,,,,,,,,,,,,,,,,,,,,,
CSX,231,231,/company/csx/,"$12,026",2.3%,"$1,864",0.3%,"$31,782","10,483",15.5%,5.9%,17.8,Railroads,FL,"$29,189",CSX,2014,,,,,,,,,,,,,,,,,,,,,
Lincoln National,232,232,/company/lincoln-national/,"$11,969",3.8%,"$1,244",-5.3%,"$236,945","13,452",10.4%,0.5%,9.2,"Insurance: Life, Health (stock)",PA,"$13,361",LNC,2014,,,,,,,,,,,,,,,,,,,,,
Linde,233,233,/company/linde/,"$11,925",6.2%,"$1,755",3.7%,"$20,255","6,609",14.7%,8.7%,26.6,Chemicals,CT,"$38,501",LIN,2014,,,,,,,,,,,,,,,,,,,,,
PPL,234,234,/company/ppl/,"$11,860",-3.5%,"$1,130",-26%,"$46,259","12,466",9.5%,2.4%,9.1,Utilities: Gas and Electric,PA,"$20,902",PPL,2014,,,,,,,,,,,,,,,,,,,,,
J.C. Penney,235,235,/company/j-c-penney/,"$11,859",-8.7%,"$-1,388",,"$11,801","3,087",-11.7%,-11.8%,-45,General Merchandisers,TX,"$2,626",JCP,2014,,,,,,,,,,,,,,,,,,,,,
Peter Kiewit Sons',236,236,/company/peter-kiewit-sons/,"$11,826",5.4%,$500,72.4%,"$6,727","3,700",4.2%,7.4%,13.5,"Engineering, Construction",NE,,,2014,,,,,,,,,,,,,,,,,,,,,
Jacobs Engineering,237,237,/company/jacobs-engineering-group-inc/,"$11,818",8.5%,$423,11.6%,"$7,274","4,213",3.6%,5.8%,10,"Engineering, Construction",CA,"$8,375",J,2014,,,,,,,,,,,,,,,,,,,,,
Visa,238,238,/company/visa/,"$11,778",13%,"$4,980",132.3%,"$35,956","26,870",42.3%,13.9%,18.5,Financial Data Services,CA,"$136,772",V,2014,,,,,,,,,,,,,,,,,,,,,
